,beta,outbreak_size,system_size,transmissibility,kappa,size_fraction,legend_kappa
78,0.1,111,500,0.10714285714285687,20,0.222,$\kappa = 20$
79,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
80,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
81,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
82,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
83,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
84,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
85,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
86,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
87,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
88,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
89,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
90,0.1,3,500,0.10714285714285687,20,0.006,$\kappa = 20$
91,0.1,69,500,0.10714285714285687,20,0.138,$\kappa = 20$
92,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
93,0.1,40,500,0.10714285714285687,20,0.08,$\kappa = 20$
94,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
95,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
96,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
97,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
98,0.1,2,500,0.10714285714285687,20,0.004,$\kappa = 20$
99,0.1,1,500,0.10714285714285687,20,0.002,$\kappa = 20$
100,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
101,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
102,0.14250000000000002,157,500,0.2038216560509556,20,0.314,$\kappa = 20$
103,0.14250000000000002,9,500,0.2038216560509556,20,0.018,$\kappa = 20$
104,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
105,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
106,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
107,0.14250000000000002,17,500,0.2038216560509556,20,0.034,$\kappa = 20$
108,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
109,0.14250000000000002,166,500,0.2038216560509556,20,0.332,$\kappa = 20$
110,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
111,0.14250000000000002,137,500,0.2038216560509556,20,0.274,$\kappa = 20$
112,0.14250000000000002,160,500,0.2038216560509556,20,0.32,$\kappa = 20$
113,0.14250000000000002,88,500,0.2038216560509556,20,0.176,$\kappa = 20$
114,0.14250000000000002,15,500,0.2038216560509556,20,0.03,$\kappa = 20$
115,0.14250000000000002,182,500,0.2038216560509556,20,0.364,$\kappa = 20$
116,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
117,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
118,0.14250000000000002,12,500,0.2038216560509556,20,0.024,$\kappa = 20$
119,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
120,0.14250000000000002,189,500,0.2038216560509556,20,0.378,$\kappa = 20$
121,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
122,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
123,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
124,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
125,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
126,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
127,0.14250000000000002,36,500,0.2038216560509556,20,0.072,$\kappa = 20$
128,0.14250000000000002,29,500,0.2038216560509556,20,0.058,$\kappa = 20$
129,0.14250000000000002,154,500,0.2038216560509556,20,0.308,$\kappa = 20$
130,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
131,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
132,0.14250000000000002,95,500,0.2038216560509556,20,0.19,$\kappa = 20$
133,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
134,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
135,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
136,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
137,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
138,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
139,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
140,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
141,0.14250000000000002,165,500,0.2038216560509556,20,0.33,$\kappa = 20$
142,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
143,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
144,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
145,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
146,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
147,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
148,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
149,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
150,0.14250000000000002,6,500,0.2038216560509556,20,0.012,$\kappa = 20$
151,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
152,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
153,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
154,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
155,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
156,0.14250000000000002,34,500,0.2038216560509556,20,0.068,$\kappa = 20$
157,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
158,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
159,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
160,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
161,0.14250000000000002,4,500,0.2038216560509556,20,0.008,$\kappa = 20$
162,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
163,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
164,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
165,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
166,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
167,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
168,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
169,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
170,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
171,0.14250000000000002,4,500,0.2038216560509556,20,0.008,$\kappa = 20$
172,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
173,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
174,0.14250000000000002,113,500,0.2038216560509556,20,0.226,$\kappa = 20$
175,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
176,0.14250000000000002,120,500,0.2038216560509556,20,0.24,$\kappa = 20$
177,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
178,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
179,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
180,0.14250000000000002,119,500,0.2038216560509556,20,0.238,$\kappa = 20$
181,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
182,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
183,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
184,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
185,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
186,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
187,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
188,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
189,0.14250000000000002,3,500,0.2038216560509556,20,0.006,$\kappa = 20$
190,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
191,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
192,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
193,0.14250000000000002,113,500,0.2038216560509556,20,0.226,$\kappa = 20$
194,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
195,0.14250000000000002,120,500,0.2038216560509556,20,0.24,$\kappa = 20$
196,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
197,0.14250000000000002,2,500,0.2038216560509556,20,0.004,$\kappa = 20$
198,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
199,0.14250000000000002,1,500,0.2038216560509556,20,0.002,$\kappa = 20$
200,0.185,1,500,0.2816091954022988,20,0.002,$\kappa = 20$
